Games played: 19300, Wins: 34, Losses: 60, Draws: 6, Win rate: 36.17021%, Epsilon: 0.3809
Games played: 19400, Wins: 43, Losses: 52, Draws: 5, Win rate: 45.26316%, Epsilon: 0.3790
Games played: 19500, Wins: 34, Losses: 60, Draws: 6, Win rate: 36.17021%, Epsilon: 0.3771
Games played: 19600, Wins: 39, Losses: 53, Draws: 8, Win rate: 42.3913%, Epsilon: 0.3752
Games played: 19700, Wins: 33, Losses: 60, Draws: 7, Win rate: 35.48387%, Epsilon: 0.3734
Games played: 19800, Wins: 45, Losses: 40, Draws: 15, Win rate: 52.94118%, Epsilon: 0.3715
Games played: 19900, Wins: 35, Losses: 58, Draws: 7, Win rate: 37.63441%, Epsilon: 0.3697
Games played: 20000, Wins: 30, Losses: 59, Draws: 11, Win rate: 33.70787%, Epsilon: 0.3678
Games played: 20100, Wins: 47, Losses: 46, Draws: 7, Win rate: 50.53764%, Epsilon: 0.3660
Games played: 20200, Wins: 37, Losses: 55, Draws: 8, Win rate: 40.21739%, Epsilon: 0.3641
Games played: 20300, Wins: 40, Losses: 52, Draws: 8, Win rate: 43.47826%, Epsilon: 0.3623
Games played: 20400, Wins: 32, Losses: 58, Draws: 10, Win rate: 35.55556%, Epsilon: 0.3605
Games played: 20500, Wins: 33, Losses: 63, Draws: 4, Win rate: 34.375%, Epsilon: 0.3587
Games played: 20600, Wins: 37, Losses: 51, Draws: 12, Win rate: 42.04545%, Epsilon: 0.3569
Games played: 20700, Wins: 32, Losses: 57, Draws: 11, Win rate: 35.95506%, Epsilon: 0.3552
Games played: 20800, Wins: 41, Losses: 57, Draws: 2, Win rate: 41.83673%, Epsilon: 0.3534
Games played: 20900, Wins: 33, Losses: 58, Draws: 9, Win rate: 36.26374%, Epsilon: 0.3516
Games played: 21000, Wins: 48, Losses: 46, Draws: 6, Win rate: 51.06383%, Epsilon: 0.3499
Games played: 21100, Wins: 35, Losses: 56, Draws: 9, Win rate: 38.46154%, Epsilon: 0.3481
Games played: 21200, Wins: 44, Losses: 51, Draws: 5, Win rate: 46.31579%, Epsilon: 0.3464
Games played: 21300, Wins: 40, Losses: 53, Draws: 7, Win rate: 43.01075%, Epsilon: 0.3447
Games played: 21400, Wins: 33, Losses: 59, Draws: 8, Win rate: 35.86956%, Epsilon: 0.3429
Games played: 21500, Wins: 38, Losses: 55, Draws: 7, Win rate: 40.86021%, Epsilon: 0.3412
Games played: 21600, Wins: 33, Losses: 60, Draws: 7, Win rate: 35.48387%, Epsilon: 0.3395
